car_ID,symboling,wheelbase,carlength,carwidth,carheight,curbweight,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,company_name,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,enginetype,cylindernumber,fuelsystem,Actual Price,Predicted Price
1,3,88.6,168.8,64.1,48.8,2548,130,3.47,2.68,9.0,111,5000,21,27,alfa-romero,gas,std,two,convertible,rwd,front,dohc,four,mpfi,13495.0,14524.934534252296
2,3,88.6,168.8,64.1,48.8,2548,130,3.47,2.68,9.0,111,5000,21,27,alfa-romero,gas,std,two,convertible,rwd,front,dohc,four,mpfi,16500.0,14524.934534252296
3,1,94.5,171.2,65.5,52.4,2823,152,2.68,3.47,9.0,154,5000,19,26,alfa-romero,gas,std,two,hatchback,rwd,front,ohcv,six,mpfi,16500.0,17012.409539006607
4,2,99.8,176.6,66.2,54.3,2337,109,3.19,3.4,10.0,102,5500,24,30,audi,gas,std,four,sedan,fwd,front,ohc,four,mpfi,13950.0,12928.953258145364
5,2,99.4,176.6,66.4,54.3,2824,136,3.19,3.4,8.0,115,5500,18,22,audi,gas,std,four,sedan,4wd,front,ohc,five,mpfi,17450.0,17169.05550867795
6,2,99.8,177.3,66.3,53.1,2507,136,3.19,3.4,8.5,110,5500,19,25,audi,gas,std,two,sedan,fwd,front,ohc,five,mpfi,15250.0,14632.0042232665
7,1,105.8,192.7,71.4,55.7,2844,136,3.19,3.4,8.5,110,5500,19,25,audi,gas,std,four,sedan,fwd,front,ohc,five,mpfi,17710.0,19992.999321219715
8,1,105.8,192.7,71.4,55.7,2954,136,3.19,3.4,8.5,110,5500,19,25,audi,gas,std,four,wagon,fwd,front,ohc,five,mpfi,18920.0,19974.04526942356
9,1,105.8,192.7,71.4,55.9,3086,131,3.13,3.4,8.3,140,5500,17,20,audi,gas,turbo,four,sedan,fwd,front,ohc,five,mpfi,23875.0,22195.004030701755
10,0,99.5,178.2,67.9,52.0,3053,131,3.13,3.4,7.0,160,5500,16,22,audi,gas,turbo,two,hatchback,4wd,front,ohc,five,mpfi,17859.167,19648.74251920426
11,2,101.2,176.8,64.8,54.3,2395,108,3.5,2.8,8.8,101,5800,23,29,bmw,gas,std,two,sedan,rwd,front,ohc,four,mpfi,16430.0,16758.236278195487
12,0,101.2,176.8,64.8,54.3,2395,108,3.5,2.8,8.8,101,5800,23,29,bmw,gas,std,four,sedan,rwd,front,ohc,four,mpfi,16925.0,16758.236278195487
13,0,101.2,176.8,64.8,54.3,2710,164,3.31,3.19,9.0,121,4250,21,28,bmw,gas,std,two,sedan,rwd,front,ohc,six,mpfi,20970.0,21419.301503759394
14,0,101.2,176.8,64.8,54.3,2765,164,3.31,3.19,9.0,121,4250,21,28,bmw,gas,std,four,sedan,rwd,front,ohc,six,mpfi,21105.0,21898.958458646615
15,1,103.5,189.0,66.9,55.7,3055,164,3.31,3.19,9.0,121,4250,20,25,bmw,gas,std,four,sedan,rwd,front,ohc,six,mpfi,24565.0,21646.394987468666
16,0,103.5,189.0,66.9,55.7,3230,209,3.62,3.39,8.0,182,5400,16,22,bmw,gas,std,four,sedan,rwd,front,ohc,six,mpfi,30760.0,29457.46657525063
17,0,103.5,193.8,67.9,53.7,3380,209,3.62,3.39,8.0,182,5400,16,22,bmw,gas,std,two,sedan,rwd,front,ohc,six,mpfi,41315.0,30790.791982518796
18,0,110.0,197.0,70.9,56.3,3505,209,3.62,3.39,8.0,182,5400,15,20,bmw,gas,std,four,sedan,rwd,front,ohc,six,mpfi,36880.0,34907.027768796994
19,2,88.4,141.1,60.3,53.2,1488,61,2.91,3.03,9.5,48,5100,47,53,chevrolet,gas,std,two,hatchback,fwd,front,l,three,2bbl,5151.0,6096.768859649123
20,1,94.5,155.9,63.6,52.0,1874,90,3.03,3.11,9.6,70,5400,38,43,chevrolet,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,6295.0,6669.226911027569
21,0,94.5,158.8,63.6,52.0,1909,90,3.03,3.11,9.6,70,5400,38,43,chevrolet,gas,std,four,sedan,fwd,front,ohc,four,2bbl,6575.0,7091.627485380118
22,1,93.7,157.3,63.8,50.8,1876,90,2.97,3.23,9.41,68,5500,37,41,dodge,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,5572.0,5716.686810776942
23,1,93.7,157.3,63.8,50.8,1876,90,2.97,3.23,9.4,68,5500,31,38,dodge,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,6377.0,6180.266196741855
24,1,93.7,157.3,63.8,50.8,2128,98,3.03,3.39,7.6,102,5500,24,30,dodge,gas,turbo,two,hatchback,fwd,front,ohc,four,mpfi,7957.0,8316.51729323308
25,1,93.7,157.3,63.8,50.6,1967,90,2.97,3.23,9.4,68,5500,31,38,dodge,gas,std,four,hatchback,fwd,front,ohc,four,2bbl,6229.0,6324.0000626566425
26,1,93.7,157.3,63.8,50.6,1989,90,2.97,3.23,9.4,68,5500,31,38,dodge,gas,std,four,sedan,fwd,front,ohc,four,2bbl,6692.0,7093.4300125313275
27,1,93.7,157.3,63.8,50.6,1989,90,2.97,3.23,9.4,68,5500,31,38,dodge,gas,std,four,sedan,fwd,front,ohc,four,2bbl,7609.0,7093.4300125313275
28,1,93.7,157.3,63.8,50.6,2191,98,3.03,3.39,7.6,102,5500,24,30,dodge,gas,turbo,two,sedan,fwd,front,ohc,four,mpfi,8558.0,8371.290162907266
29,-1,103.3,174.6,64.6,59.8,2535,122,3.34,3.46,8.5,88,5000,24,30,dodge,gas,std,four,wagon,fwd,front,ohc,four,2bbl,8921.0,9124.963815789471
30,3,95.9,173.2,66.3,50.2,2811,156,3.6,3.9,7.0,145,5000,19,24,dodge,gas,turbo,two,hatchback,fwd,front,ohc,four,mfi,12964.0,14244.001869256474
31,2,86.6,144.6,63.9,50.8,1713,92,2.91,3.41,9.6,58,4800,49,54,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl,6479.0,6149.963638262323
32,2,86.6,144.6,63.9,50.8,1819,92,2.91,3.41,9.2,76,6000,31,38,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl,6855.0,6692.084837092732
33,1,93.7,150.0,64.0,52.6,1837,79,2.91,3.07,10.1,60,5500,38,42,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl,5399.0,6166.706182121971
34,1,93.7,150.0,64.0,52.6,1940,92,2.91,3.41,9.2,76,6000,30,34,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl,6529.0,6758.5467731829585
35,1,93.7,150.0,64.0,52.6,1956,92,2.91,3.41,9.2,76,6000,30,34,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl,7129.0,6850.518535923142
36,0,96.5,163.4,64.0,54.5,2010,92,2.91,3.41,9.2,76,6000,30,34,honda,gas,std,four,sedan,fwd,front,ohc,four,1bbl,7295.0,7490.6377401837935
